,Column6,create_time,Column8,Column10,Column12,Column15,Column16,Column17,price,Column22,ts_lag,ts_date,220215,time
0,"company_id:""5""",2022-12-19 08:26:04,"deal_status:""0""","full_price:""100.6106""","id:""TJXT221219052024000000000001""","net_price:""99.3536""","operate:""0""","pre_closePrice:""99.272""",3.0375,"volume:""1000""",0,2022-12-19 08:25:00,,08:26:04
1,"company_id:""4""",2022-12-19 08:30:03,"deal_status:""0""","full_price:""100.6228""","id:""PATRe1054314661842825217""","net_price:""99.3739""","operate:""0""","pre_closePrice:""99.272""",3.035,"volume:""""",239,2022-12-19 08:30:00,3.035732581967213,08:30:03
2,"company_id:""2""",2022-12-19 08:32:26,"deal_status:""0""","full_price:""100.6106""","id:""ICAP2202157000577953""","net_price:""99.3536""","operate:""0""","pre_closePrice:""99.292""",3.0375,"volume:""""",143,2022-12-19 08:30:00,3.035732581967213,08:32:26
3,"company_id:""1""",2022-12-19 08:34:12,"deal_status:""0""","full_price:""100.631""","id:""TPSHe1054315707791192065""","net_price:""99.374""","operate:""0""","pre_closePrice:""99.272""",3.035,"volume:""2000""",106,2022-12-19 08:30:00,3.035732581967213,08:34:12
4,"company_id:""3""",2022-12-19 08:35:35,"deal_status:""0""","full_price:""100.631""","id:""BGC22021511009193630""","net_price:""99.374""","operate:""1""","pre_closePrice:""99.292""",3.035,"volume:""""",83,2022-12-19 08:35:00,3.032161458333333,08:35:35
5,"company_id:""1""",2022-12-19 08:36:01,"deal_status:""0""","full_price:""100.6719""","id:""TPSHe1054316160985739268""","net_price:""99.4149""","operate:""0""","pre_closePrice:""99.272""",3.03,"volume:""2000""",26,2022-12-19 08:35:00,3.032161458333333,08:36:01
6,"company_id:""1""",2022-12-19 08:37:24,"deal_status:""0""","full_price:""100.6719""","id:""TPSHe1054316512116092931""","net_price:""99.4149""","operate:""0""","pre_closePrice:""99.272""",3.03,"volume:""2000""",83,2022-12-19 08:35:00,3.032161458333333,08:37:24
7,"company_id:""2""",2022-12-19 08:40:31,"deal_status:""0""","full_price:""100.6719""","id:""ICAP2202157000577958""","net_price:""99.4149""","operate:""0""","pre_closePrice:""99.292""",3.03,"volume:""""",187,2022-12-19 08:40:00,3.03,08:40:31
8,"company_id:""2""",2022-12-19 08:41:12,"deal_status:""0""","full_price:""100.6719""","id:""ICAP2202157000577959""","net_price:""99.4149""","operate:""1""","pre_closePrice:""99.292""",3.03,"volume:""""",41,2022-12-19 08:40:00,3.03,08:41:12
9,"company_id:""1""",2022-12-19 08:41:42,"deal_status:""0""","full_price:""100.6719""","id:""TPSHe1054317594338799617""","net_price:""99.4149""","operate:""1""","pre_closePrice:""99.272""",3.03,"volume:""2000""",30,2022-12-19 08:40:00,3.03,08:41:42
10,"company_id:""5""",2022-12-19 08:41:59,"deal_status:""0""","full_price:""100.6719""","id:""TJXT221219052024000000000004""","net_price:""99.4149""","operate:""0""","pre_closePrice:""99.272""",3.03,"volume:""2000""",17,2022-12-19 08:40:00,3.03,08:41:59
11,"company_id:""1""",2022-12-19 08:48:46,"deal_status:""0""","full_price:""100.6719""","id:""TPSHe1054319371092111361""","net_price:""99.4149""","operate:""1""","pre_closePrice:""99.272""",3.03,"volume:""2000""",407,2022-12-19 08:45:00,3.029385775862069,08:48:46
12,"company_id:""1""",2022-12-19 08:48:54,"deal_status:""0""","full_price:""100.7046""","id:""TPSHe1054319405330214916""","net_price:""99.4557""","operate:""0""","pre_closePrice:""99.272""",3.025,"volume:""2000""",8,2022-12-19 08:45:00,3.029385775862069,08:48:54
13,"company_id:""1""",2022-12-19 08:48:57,"deal_status:""0""","full_price:""100.7128""","id:""TPSHe1054319415904055300""","net_price:""99.4558""","operate:""0""","pre_closePrice:""99.272""",3.025,"volume:""5000""",3,2022-12-19 08:45:00,3.029385775862069,08:48:57
14,"company_id:""3""",2022-12-19 08:49:27,"deal_status:""0""","full_price:""100.7128""","id:""BGC22021511009194094""","net_price:""99.4558""","operate:""0""","pre_closePrice:""99.292""",3.025,"volume:""""",30,2022-12-19 08:45:00,3.029385775862069,08:49:27
15,"company_id:""1""",2022-12-19 08:49:32,"deal_status:""0""","full_price:""100.7128""","id:""TPSHe1054319562637586436""","net_price:""99.4558""","operate:""0""","pre_closePrice:""99.272""",3.025,"volume:""1000""",5,2022-12-19 08:45:00,3.029385775862069,08:49:32
16,"company_id:""3""",2022-12-19 08:49:36,"deal_status:""0""","full_price:""100.7128""","id:""BGC22021511009194105""","net_price:""99.4558""","operate:""0""","pre_closePrice:""99.292""",3.025,"volume:""""",4,2022-12-19 08:45:00,3.029385775862069,08:49:36
